label,n_gold,n_committed,tp,fp,fn,tn,precision,recall
ACL,58,58,24,0,0,34,1.0,1.0
MCL,58,58,9,0,0,49,1.0,1.0
Medial Meniscus,58,58,26,0,0,32,1.0,1.0
Lateral Meniscus,58,58,23,0,0,35,1.0,1.0
Medial OA,58,58,15,0,0,43,1.0,1.0
Lateral OA,58,58,11,0,0,47,1.0,1.0
PF OA,58,58,21,0,0,37,1.0,1.0
Effusion,58,58,35,0,0,23,1.0,1.0
Synovitis,58,58,27,0,0,31,1.0,1.0
Baker's,58,58,12,0,0,46,1.0,1.0
Contusion,58,58,19,0,0,39,1.0,1.0
Fracture,58,58,18,0,0,40,1.0,1.0
